Name,Location,Province,Make,link
5. AUDI OF RICHMOND,"Richmond, BC",British-Columbia,Audi,https://www.dealerrater.ca/dealer/Audi-Of-Richmond-review-31622/
6. AUDI AUTOHAUS,"Victoria, BC",British-Columbia,Audi,https://www.dealerrater.ca/dealer/Audi-Autohaus-review-102707/
7. OPENROAD AUDI BURNABY,"Burnaby, BC",British-Columbia,Audi,https://www.dealerrater.ca/dealer/OpenRoad-Audi-Burnaby-review-113972/
1. AUDI WINNIPEG,"Winnipeg, MB",Manitoba,Audi,https://www.dealerrater.ca/dealer/Audi-Winnipeg-review-114579/
1. DIEPPE AUTO LTD.,"Dieppe, NB",New-Brunswick,Audi,https://www.dealerrater.ca/dealer/Dieppe-Auto-Ltd-review-32365/
2. AUDI MONCTON,"Moncton, NB",New-Brunswick,Audi,https://www.dealerrater.ca/dealer/Audi-Moncton-review-114534/
1. HALIFAX AUDI,"Halifax, NS",Nova-Scotia,Audi,https://www.dealerrater.ca/dealer/Halifax-Audi-review-31620/
1. AUDI KITCHENER-WATERLOO,"Kitchener, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-Kitchener-Waterloo-review-43440/
2. AUDI LONDON,"London, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-London-review-114137/
3. AUDI UPTOWN,"Markham, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-Uptown-review-20538/
4. AUDI MIDTOWN TORONTO,"Toronto, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-Midtown-Toronto-review-102796/
5. AUDI BARRIE,"Innisfil, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-Barrie-review-15932/
6. AUDI OF MISSISSAUGA,"Mississauga, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-of-Mississauga-review-31621/
7. KINGSTON VOLKSWAGEN AUDI,"Kingston, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Kingston-Volkswagen-Audi-review-33191/
8. AUDI OAKVILLE,"Oakville, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-Oakville-review-42522/
9. AUDI ST. CATHARINES,"St Catharines, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-St-Catharines-review-34399/
10. AUDI WINDSOR,"Windsor, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-Windsor-review-114729/
11. HAMILTON VOLKSWAGEN AUDI,"Hamilton, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Hamilton-Volkswagen-Audi-review-18465/
12. PFAFF AUDI,"Vaughan, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Pfaff-Audi-review-33991/
13. AUDI DOWNTOWN TORONTO,"Toronto, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-Downtown-Toronto-review-31619/
14. OWASCO AUDI DEALERSHIP,"Whitby, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Owasco-Audi-Dealership-review-106278/
15. AUDI MARK MOTORS OF OTTAWA,"Ottawa, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-Mark-Motors-of-Ottawa-review-33439/
16. AUDI QUEENSWAY,"Etobicoke, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/Audi-Queensway-review-34075/
17. HJ PFAFF MOTORS INC. AUDI,"Newmarket, ON",Ontario,Audi,https://www.dealerrater.ca/dealer/HJ-Pfaff-Motors-Inc-Audi-review-39271/
1. AUDI WEST ISLAND,"Dollard-des-Ormeaux, QC",Quebec,Audi,https://www.dealerrater.ca/dealer/Audi-West-Island-review-106137/
2. AUDI ANJOU,"Anjou, QC",Quebec,Audi,https://www.dealerrater.ca/dealer/Audi-Anjou-review-115058/
3. AUDI ST-BRUNO,"St-Bruno, QC",Quebec,Audi,https://www.dealerrater.ca/dealer/Audi-St-Bruno-review-114429/
4. AUDI PRESTIGE,"St. Laurent , QC",Quebec,Audi,https://www.dealerrater.ca/dealer/Audi-Prestige-review-34051/
5. PARK AVENUE AUDI,"Brossard, QC",Quebec,Audi,https://www.dealerrater.ca/dealer/Park-Avenue-Audi-review-33898/
6. AUDI STE-FOY,"Quebec, QC",Quebec,Audi,https://www.dealerrater.ca/dealer/Audi-Ste-Foy-review-31624/
7. AUTOMOBILES LAUZON,"Laval, QC",Quebec,Audi,https://www.dealerrater.ca/dealer/Automobiles-Lauzon-review-31697/
8. SHERBROOKE AUDI,"Sherbrooke , QC",Quebec,Audi,https://www.dealerrater.ca/dealer/Sherbrooke-Audi-review-34318/
1. AUDI SASKATOON,"Saskatoon, SK",Saskatchewan,Audi,https://www.dealerrater.ca/dealer/Audi-Saskatoon-review-31623/
2. TAYLOR VOLKSWAGEN AUDI,"Regina, SK",Saskatchewan,Audi,https://www.dealerrater.ca/dealer/Taylor-Volkswagen-Audi-review-34567/
1. BENTLEY CALGARY,"Calgary, AB",Alberta,Bentley,https://www.dealerrater.ca/dealer/Bentley-Calgary-review-106387/
1. BENTLEY VANCOUVER,"Vancouver, BC",British-Columbia,Bentley,https://www.dealerrater.ca/dealer/Bentley-Vancouver-review-33518/
1. GRAND TOURING AUTOMOBILES,"Toronto, ON",Ontario,Bentley,https://www.dealerrater.ca/dealer/Grand-Touring-Automobiles-review-17721/
1. DECARIE MOTORS,"Montréal, QC",Quebec,Bentley,https://www.dealerrater.ca/dealer/Decarie-Motors-review-32312/
1. BAVARIA BMW,"Edmonton, AB",Alberta,BMW,https://www.dealerrater.ca/dealer/Bavaria-BMW-review-31774/
2. CALGARY BMW,"Calgary, AB",Alberta,BMW,https://www.dealerrater.ca/dealer/Calgary-BMW-review-53/
3. BMW GALLERY,"Calgary , AB",Alberta,BMW,https://www.dealerrater.ca/dealer/BMW-Gallery-review-40058/
4. EDMONTON BMW,"Edmonton, AB",Alberta,BMW,https://www.dealerrater.ca/dealer/Edmonton-BMW-review-32491/
1. BMW MINI NANAIMO,"Nanaimo, BC",British-Columbia,BMW,https://www.dealerrater.ca/dealer/BMW-MINI-Nanaimo-review-104115/
2. PARK SHORE BMW,"North Vancouver, BC",British-Columbia,BMW,https://www.dealerrater.ca/dealer/Park-Shore-BMW-review-38236/
3. THE BMW STORE,"Vancouver, BC",British-Columbia,BMW,https://www.dealerrater.ca/dealer/The-BMW-Store-review-26418/
4. KELOWNA BMW,"Kelowna, BC",British-Columbia,BMW,https://www.dealerrater.ca/dealer/Kelowna-BMW-review-17568/
5. BRIAN JESSEL BMW,"Vancouver, BC",British-Columbia,BMW,https://www.dealerrater.ca/dealer/Brian-Jessel-BMW-review-17691/
6. AUTO WEST BMW,"Richmond, BC",British-Columbia,BMW,https://www.dealerrater.ca/dealer/Auto-West-BMW-review-18778/
7. BMW / MINI VICTORIA,"Victoria, BC",British-Columbia,BMW,https://www.dealerrater.ca/dealer/BMW-MINI-Victoria-review-26420/
8. BMW LANGLEY,"Langley, BC",British-Columbia,BMW,https://www.dealerrater.ca/dealer/BMW-Langley-review-113979/
1. BIRCHWOOD BMW,"Winnipeg, MB",Manitoba,BMW,https://www.dealerrater.ca/dealer/Birchwood-BMW-review-31845/
1. BMW/MINI MONCTON,"Dieppe, NB",New-Brunswick,BMW,https://www.dealerrater.ca/dealer/BMW-Mini-Moncton-review-43476/
1. BMW ST. JOHN'S,"St. John's, NL",Newfoundland-and-Labrador,BMW,https://www.dealerrater.ca/dealer/BMW-St-John-s-review-114779/
1. O'REGAN'S BMW MINI HALIFAX,"Halifax , NS",Nova-Scotia,BMW,https://www.dealerrater.ca/dealer/O-Regan-s-BMW-MINI-Halifax-review-104278/
1. PARKVIEW BMW,"North York, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Parkview-BMW-review-40034/
2. BUDDS' BMW OAKVILLE,"Oakville, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Budds-BMW-Oakville-review-31965/
3. BMW MARKHAM,"Markham, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/BMW-Markham-review-25485/
4. OTTO'S BMW,"Ottawa, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Otto-s-BMW-review-33875/
5. PERFORMANCE BMW,"St. Catharines, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Performance-BMW-review-33959/
6. BMW TORONTO,"Toronto, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/BMW-Toronto-review-15326/
7. MARANELLO BMW,"Woodbridge, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Maranello-BMW-review-33432/
8. ENDRAS BMW MINI DURHAM,"Ajax, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Endras-BMW-MINI-Durham-review-38688/
9. BUDDS' BMW HAMILTON,"Hamilton, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Budds-BMW-Hamilton-review-16191/
10. GRAND RIVER BMW,"Kitchener, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Grand-River-BMW-review-34587/
11. BMW NEWMARKET,"Newmarket, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/BMW-Newmarket-review-33850/
12. BMW KINGSTON,"Kingston, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/BMW-Kingston-review-106358/
13. BMW AUTOHAUS,"Thornhill, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/BMW-Autohaus-review-31870/
14. ELITE BMW,"Ottawa, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Elite-BMW-review-32506/
15. BMW LONDON,"London, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/BMW-London-review-31873/
16. BMW OF MISSISSAUGA,"Mississauga, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/BMW-of-Mississauga-review-31874/
17. OVERSEAS MOTORS BMW,"Windsor, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Overseas-Motors-BMW-review-42143/
18. PALLADINO BMW,"Sudbury, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Palladino-BMW-review-115351/
19. SARNIA FINE CARS,"Sarnia, ON",Ontario,BMW,https://www.dealerrater.ca/dealer/Sarnia-Fine-Cars-review-34233/
1. BMW LAVAL,"Laval, QC",Quebec,BMW,https://www.dealerrater.ca/dealer/BMW-Laval-review-31872/
2. PARK AVENUE BMW,"Brossard, QC",Quebec,BMW,https://www.dealerrater.ca/dealer/Park-Avenue-BMW-review-15426/
3. BMW CANBEC AUTOMOBILES INC,"Montreal, QC",Quebec,BMW,https://www.dealerrater.ca/dealer/BMW-Canbec-Automobiles-Inc-review-32025/
4. BMW SAINTE-JULIE,"Sainte-Julie, QC",Quebec,BMW,https://www.dealerrater.ca/dealer/BMW-Sainte-Julie-review-31875/
5. BMW WEST ISLAND,"Montréal, QC",Quebec,BMW,https://www.dealerrater.ca/dealer/BMW-West-Island-review-104680/
6. BMW VILLE DE QUEBEC,"Quebec, QC",Quebec,BMW,https://www.dealerrater.ca/dealer/BMW-ville-de-Quebec-review-39180/
7. HAMEL BMW,"Blainville, QC",Quebec,BMW,https://www.dealerrater.ca/dealer/Hamel-BMW-review-32805/
8. SUPREM AUTOMOBILE,"Sherbrooke , QC",Quebec,BMW,https://www.dealerrater.ca/dealer/Suprem-Automobile-review-34540/
9. SUPREM AUTOMOBILE,"Sherbrooke, QC",Quebec,BMW,https://www.dealerrater.ca/dealer/Suprem-Automobile-review-15768/
10. TROIS RIVIERES BMW,"Trois-Rivières, QC",Quebec,BMW,https://www.dealerrater.ca/dealer/Trois-Rivieres-BMW-review-34670/
1. BEMA AUTOSPORT BMW AND MINI,"Saskatoon, SK",Saskatchewan,BMW,https://www.dealerrater.ca/dealer/Bema-Autosport-BMW-and-MINI-review-31817/
2. DILAWRI BMW,"Regina, SK",Saskatchewan,BMW,https://www.dealerrater.ca/dealer/Dilawri-BMW-review-32367/
1. CAPITAL CHEVROLET BUICK GMC,"Calgary, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Capital-Chevrolet-Buick-GMC-review-34369/
2. WESTERN GMC BUICK,"Edmonton, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Western-GMC-Buick-review-34877/
3. DAVIS GMC BUICK,"Lethbridge, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Davis-GMC-Buick-review-32306/
4. DON WHEATON CHEVROLET GMC BUICK CADILLAC LTD.,"Edmonton, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Don-Wheaton-Chevrolet-GMC-Buick-Cadillac-Ltd-review-34374/
5. CAPITAL GMC BUICK,"Edmonton, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Capital-GMC-Buick-review-34370/
6. NORTHGATE CHEVROLET BUICK GMC LTD,"Edmonton, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Northgate-Chevrolet-Buick-GMC-Ltd-review-33784/
7. OKOTOKS CHEVROLET BUICK GMC,"Okotoks, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Okotoks-Chevrolet-Buick-GMC-review-33095/
8. CMP CHEVROLET CADILLAC BUICK GMC,"Calgary, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/CMP-Chevrolet-Cadillac-Buick-GMC-review-32182/
9. JACK CARTER CHEVROLET BUICK GMC,"Calgary, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Jack-Carter-Chevrolet-Buick-GMC-review-32998/
10. SHERWOOD BUICK GMC,"Sherwood Park, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Sherwood-Buick-GMC-review-33985/
11. SHAGANAPPI GM,"Calgary, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Shaganappi-GM-review-34311/
12. DAVIS CHEVROLET,"Airdrie, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Davis-Chevrolet-review-31544/
13. SCOUGALL MOTORS LTD,"Fort MacLeod , AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Scougall-Motors-Ltd-review-34287/
14. SHAW GMC CHEVROLET BUICK,"Calgary, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Shaw-GMC-Chevrolet-Buick-review-34314/
15. SUMMIT GM,"Fort McMurray, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Summit-GM-review-31558/
16. DAVIS CHEVROLET CLARESHOLM,"Claresholm, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Davis-Chevrolet-Claresholm-review-34893/
17. EDWARDS GARAGE LIMITED,"Rocky Mountain House, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Edwards-Garage-Limited-review-32498/
18. GRIZZLY TRAIL MOTORS,"Barrhead, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Grizzly-Trail-Motors-review-34622/
19. HIGH LEVEL MOTOR PRODUCTS INC,"High Level, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/High-Level-Motor-Products-Inc-review-32865/
20. STRATHMORE MOTOR PRODUCTS,"Strathmore, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Strathmore-Motor-Products-review-34481/
21. BANNISTER GM,"Edson , AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Bannister-GM-review-31758/
22. WESTLOCK MOTORS,"Westlock, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Westlock-Motors-review-34882/
23. DAVIS GMC BUICK,"Medicine Hat, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Davis-GMC-Buick-review-34356/
24. STETTLER GM,"Stettler, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Stettler-GM-review-34468/
25. ADAMS CHEVROLET BUICK GMC LTD,"Wetaskiwin, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Adams-Chevrolet-Buick-GMC-Ltd-review-31529/
26. BROOKS MOTOR PRODUCTS,"Brooks, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Brooks-Motor-Products-review-32210/
27. RON HODGSON CHEVROLET BUICK GMC,"St. Albert, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Ron-Hodgson-Chevrolet-Buick-GMC-review-34188/
28. GSL GM CITY,"Calgary, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/GSL-GM-City-review-32627/
29. KEN SARGENT GMC BUICK LTD,"Grande Prairie, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Ken-Sargent-GMC-Buick-Ltd-review-33111/
30. KIPP SCOTT GMC CADILLAC BUICK,"Red Deer, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Kipp-Scott-GMC-Cadillac-Buick-review-33194/
31. HANNA MOTOR PRODUCTS,"Hanna, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Hanna-Motor-Products-review-31881/
32. MCDONALD CHEVROLET BUICK GMC,"Taber, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/McDonald-Chevrolet-Buick-GMC-review-33505/
33. LAKE CITY MOTOR PRODUCTS,"Cold Lake, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Lake-City-Motor-Products-review-33231/
34. MIGHTY PEACE CHEVROLET BUICK GMC,"Peace River, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Mighty-Peace-Chevrolet-Buick-GMC-review-33452/
35. SCHWAB CHEVROLET BUICK GMC,"Leduc, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Schwab-Chevrolet-Buick-GMC-review-34282/
36. ADAMS CHEVROLET BUICK GMC LTD,"Ponoka, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Adams-Chevrolet-Buick-Gmc-Ltd-review-39929/
37. ADVENTURE AUTOMOTIVE LTD,"Fairview, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Adventure-Automotive-Ltd-review-31534/
38. BUIST MOTOR PRODUCTS LTD,"Rimbey , AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Buist-Motor-Products-Ltd-review-31972/
39. CAN BOW MOTORS LTD,"Canmore, AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Can-Bow-Motors-Ltd-review-32021/
40. CHARROIS MOTOR PRODUCTS,"High Prairie , AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Charrois-Motor-Products-review-32126/
41. CHINOOK CHEVROLET BUICK GMC LTD.,"Hinton , AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Chinook-Chevrolet-Buick-GMC-Ltd-review-32144/
42. COLLEGE PARK CHEVROLET BUICK GMC,"Vermilion , AB",Alberta,Buick,https://www.dealerrater.ca/dealer/College-Park-Chevrolet-Buick-GMC-review-32199/
43. DENWOOD MOTORS (1993) LTD.,"Wainwright , AB",Alberta,Buick,https://www.dealerrater.ca/dealer/Denwood-Motors-1993-Ltd-review-32335/
