Reg Num,Name,Address,Status,Phone,Broker
12,ALL-RISKS- ETOBICOKE,"5146, DUNDAS STREET WEST, TORONTO, ONTARIO, CANADA, M9A 1C2",Corporation,416-231-5644,"LEMMON, PAUL"
19,ALL-RISKS- GUELPH,"340, WOODLAWN ROAD WEST, UNIT #24, GUELPH, ONTARIO, CANADA, N1H 7K6",Corporation,519-829-1747,"LEMMON, PAUL"
13,ALL-RISKS- MARKHAM,"160, NEW DELHI DR, UNIT #34, MARKHAM, ONTARIO, CANADA, L3S 0B6",Corporation,905-415-8877,"LEMMON, PAUL"
14,ALL-RISKS- MISSISSAUGA,"6465, MILLCREEK DRIVE, SUITE 201, MISSISSAUGA, ONTARIO, CANADA, L5N 5R3",Corporation,905-812-7223,"LEMMON, PAUL"
16,ALL-RISKS- OTTAWA,"1010, POLYTEK ST, SUITE #3, GLOUCESTER, ONTARIO, CANADA, K1J 9H8",Corporation,613-224-2935,"LEMMON, PAUL"
17,ALL-RISKS- RIDGETOWN,"11, ERIE STREET SOUTH, RIDGETOWN, ONTARIO, CANADA, N0P 2C0",Corporation,519-674-1000,"No Principal Broker,"
15,ALL-RISKS- SUDBURY,"4764, REGIONAL ROAD, UNIT #T10A, CHELMSFORD, ONTARIO, CANADA, P0M 1L0",Corporation,705-855-5858,"LEMMON, PAUL"
10,ALL-RISKS- WATERLOO,"100, FROBISHER DRIVE, UNIT #8, WATERLOO, ONTARIO, CANADA, N2V 2A1",Corporation,519-886-4988,"LEMMON, PAUL"
51,ALSOP INSURANCE BROKERS INC.,"BOX 2, 6224 MAIN STREET, STOUFFVILLE, ONTARIO, CANADA, L4A 7Z4",Corporation,+1(905)640-3202,"WIDEMAN, JEREMY A."
3441,AMPEX GENERAL INSURANCE BROKERS LTD.,"712, & 714 GORDON BAKER ROAD, TORONTO, ONTARIO, CANADA, M2H 3B4",Corporation,+1(416)886-3311,"LEUNG, RAYMOND WAI LAM"
1,ANFOSSI TASSE- OSHAWA,"841, SWISS HEIGHT, OSHAWA, ONTARIO, CANADA, L1K 2B1",Corporation,905-626-9492,"D'AVIRRO, MARIO M."
1817,AON CANADA INC. t/a AON REED STENHOUSE,"20, BAY STREET, SUITE 2400, TORONTO, ONTARIO, CANADA, M5J 2N9",Corporation,+1(416)868-2430,"AUDET, MAURICE GEORGE"
12,AON CANADA SASKATOON,"STREET EAST , 8TH FLOOR, SASKOTTON, SASKATCHEWAN, CANADA, S7K 0B3",Corporation,306-975-8855,"AUDET, MAURICE GEORGE"
11,AON CANADA ST JOHN'S,"125, KELSEY DRIVE, ST JOHN'S , NEWFOUNDLAND AND LABRADOR, CANADA, A1B",Corporation,709-739-1000,"No Principal Broker,"
10,AON CANADA VICTORIA,"1803, DOUGLAS STREET , 6TH FLOOR, VICTORIA, BRITISH COLUMBIA, CANADA, V8T 5C3",Corporation,250-388-7577,"AUDET, MAURICE GEORGE"
1,AON CANADA-OTTAWA,"8, YORK STREET, OTTAWA, ONTARIO, CANADA, K1N 5S6",Corporation,0,"AUDET, MAURICE GEORGE"
1,AON REED STENHOUSE - EDMONTON,"900, MERRILL LYNCH TOWER, EDMONTON CENTRE, EDMONTON, ALBERTA, CANADA, T5J 0Y2",Corporation,780-423-9801,"AUDET, MAURICE GEORGE"
18,AON REED STENHOUSE BAY ROBERTS,"400, CONCEPTION BAY HIGHWAY, SUITE #1, BAY ROBERTS, NEWFOUNDLAND AND LABRADOR, C",Corporation,709.786.9551,"No Principal Broker,"
13,AON REED STENHOUSE- CALGARY,"600-3RD , AVE SW, SUITE #1800, CALGARY, ALBERTA, CANADA, T2P 0G5",Corporation,403-267-7010,"AUDET, MAURICE GEORGE"
19,AON REED STENHOUSE CORNER BRK,"10, MAIN STREET, SUITE #201, CORNER BROOK, NEWFOUNDLAND AND LABRADOR, CANADA, A",Corporation,709-639-1129,"AUDET, MAURICE GEORGE"
1816,AON REED STENHOUSE INC.,"20, BAY STREET, SUITE 2400, TORONTO, ONTARIO, CANADA, M5J 2N9",Corporation,+1(416)868-5500,"AUDET, MAURICE GEORGE"
21,AON REED STENHOUSE KAMLOOPS,"1380, SUMMIT DRIVE, UNIT #12, KAMLOOPS, BRITISH COLUMBIA, CANADA, V2C 1T8",Corporation,250-376-1133,"AUDET, MAURICE GEORGE"
15,AON REED STENHOUSE- LAURIER,"2600, LAURIER BOULEVARD, SUITE #750, QUEBEC, QUEBEC, CANADA, G1V 4W2",Corporation,418-529-1234,"AUDET, MAURICE GEORGE"
12,AON REED STENHOUSE- MARKHAM,"600, ALDEN ROAD, 7TH FLOOR, MARKHAM, ONTARIO, CANADA, L3R 0E7",Corporation,905-969-3400,"AUDET, MAURICE GEORGE"
14,AON REED STENHOUSE- WHITEHORSE,"201- , 9016 QUARTZ ROAD, WHITEHORSE, YUKON, CANADA, Y1A 2Z5",Corporation,867-668-4343,"AUDET, MAURICE GEORGE"
10,AON REED STENHOUSE-OTTAWA,"333, PRESTON STREET, SUITE #600, OTTAWA, ONTARIO, CANADA, K1S 5N4",Corporation,613-722-7070,"AUDET, MAURICE GEORGE"
17,AON REED STENHOUSE-REGINA,"2103- , 11TH AVENUE, SUITE #800, REGINA, SASKATCHEWAN, CANADA, S4P 3Z8",Corporation,,"No Principal Broker,"
16,AON REED STENHOUSE-VANCOUVER,"401, WEST GEORGIA STREET, SUITE #1200, VANCOUVER, BRITISH COLUMBIA, CANADA, V6B",Corporation,,"AUDET, MAURICE GEORGE"
1,AP INSURANCE - LAKEFIELD,"38, QUEEN STREET, LAKEFIELD, ONTARIO, CANADA, K0L 2H0",Corporation,+1(705)652-3841,"BELL, SCOTT DOUGLAS"
1,APARCO INSURANCE- MISSISSAUGA,"6790, DAVAND DRIVE, UNIT #1, MISSISSAUGA, ONTARIO, CANADA, L5T 2G5",Corporation,+1(905)564-4824,"DOOKHIE, SURESH PERSAUD"
3501,ARMOUR INSURANCE BROKERS LTD.,"1- , 30 TOPFLIGHT DRIVE, MISSISSAUGA, ONTARIO, CANADA, L5S 0A8",Corporation,+1(905)452-5127,"KANG, SUKHDEEP KAUR"
1,ARMOUR INSURANCE-BRAMPTON,"9610, MCLAGHLIN ROAD NORTH, BRAMPTON, ONTARIO, CANADA, L6X 0B8",Corporation,905-452-5127,"KANG, SUKHDEEP KAUR"
1,ARTHUR GALLAGHER-CAMBRIDGE,"1150, FRANKLIN BLVD., SUITE #103, CAMBRIDGE, ONTARIO, CANADA, N1R 7J2",Corporation,519-740-7500,"MEDEIROS, TRACEY LYNN"
14,ARTHUR GALLAGHER-CAVALIER,"8 , 8 -3421 PORTAGE AVENUE, WINNIPEG, MANITOBA, CANADA, R3K 2C9",Corporation,204-925-8640,"MEDEIROS, TRACEY LYNN"
21,ARTHUR GALLAGHER-DIEPPE,"1040, CHAMPLAIN ST., SUITE #200, DIEPPE, NEW BRUNSWICK, CANADA,",Corporation,506-857-0064,"MEDEIROS, TRACEY LYNN"
18,ARTHUR GALLAGHER-FRASER & HOYT,"91, ARCHIMEDES STREET, NEW GLASGOW, NOVA SCOTIA, CANADA, B2H 2T3",Corporation,902-752-8451,"No Principal Broker,"
15,ARTHUR GALLAGHER-GRANT,"14, – 584 PEMBINA HIGHWAY, WINNIPEG, MANITOBA, CANADA, R3M 3X7",Corporation,204-982-7900,"MEDEIROS, TRACEY LYNN"
11,ARTHUR GALLAGHER-HENDERSON,"12-963 , HENDERSON HIGHWAY, WINNIPEG, MANITOBA, CANADA, 2RK 2M3",Corporation,204-669-2886,"No Principal Broker,"
16,ARTHUR GALLAGHER-NORWAY HOUSE,"P.O. BOX 820, NORWAY HOUSE, MANITOBA, CANADA, R0B 1B0",Corporation,204-359-8800,"MEDEIROS, TRACEY LYNN"
12,ARTHUR GALLAGHER-POINTE WEST,"35A – 3965 PORTAGE AVENUE, WINNIPEG, MANITOBA, CANADA, R3K 2H7",Corporation,204-831-4236,"MEDEIROS, TRACEY LYNN"
13,ARTHUR GALLAGHER-REGENT AVENUE,"6, – 1500 REGENT AVENUE WEST, WINNIPEG, MANITOBA, CANADA, R2C 3A8",Corporation,204-925-7533,"MEDEIROS, TRACEY LYNN"
17,ARTHUR GALLAGHER-RENFREW,"300, 344 11 AVENUE SW, CALGARY, ALBERTA, CANADA, T2G 0Y2",Corporation,403-299-1000,"No Principal Broker,"
10,ARTHUR GALLAGHER-TORONTO#1,"80, RICHMOND STREET, SUITE #700, TORONTO, ONTARIO, CANADA, M5H 2A4",Corporation,416-364-0393,"MEDEIROS, TRACEY LYNN"
1,ASGP INSURANCE- MARKHAM,"220, ROYAL CREST COURT, UNIT #19, MARKHAM, ONTARIO, CANADA, L3T 9Y2",Corporation,,"GRYS, JOANNE BONNIE"
1,ASS CHAMPLAIN-VANKLEEK HILL,"85, MAIN STREET, VANKLEEK HILL, ONTARIO, CANADA, K0B 1R0",Corporation,613-678-3148,"WARNER, JOHN DOUGLAS"
1,ASSURANCE ROBICHAUD-HEARST,"810, GEORGE STREET, HEARST, ONTARIO, CANADA, P0L 1N0",Corporation,705-372-6200,"ROBICHAUD, KEVIN"
3461,ASSURANCES GENERALES SECOURS INC.,"674, AVENUE CENTRALE, VAL D'OR, QUEBEC, CANADA, J9P 1P8",Corporation,+1(819)825-7878,"SHELDON, PAUL KENNETH"
103,ASSURANCES ROBICHAUD INSURANCE INC.,"37, RIVERSIDE DRIVE, KAPUSKASING, ONTARIO, CANADA, P5N 1A7",Corporation,+1(705)335-2371,"ROBICHAUD, KEVIN"
3561,ASSURART INC.,"2055, PEEL BUR. 410, MONTREAL, QUEBEC, CANADA, H3A 1V4",Corporation,+1(514)382-9357,"NICORICIU, IOAN DACIAN"
1,ASSURART INC.,"2055 PEEL, BUR-410, MONTREAL, QUEBEC, CANADA, H3A 1V4",Corporation,+1(514)382-9357,"NICORICIU, IOAN DACIAN"
3613,ASURION CANADA SERVICES CORPORATION,"#5300 COMMERCE COURT WEST, 199 BAY STREET, TORONTO, ONTARIO, CANADA, M5L 1B9",Corporation,+1(647)955-3299,"SALDARRIAGA, CHRIS"
1,ASURION-BRAMPTON,"49, FALLINGDALE CRESCENT, BRAMPTON, ONTARIO, CANADA, L6Y 3J5",Corporation,,"SALDARRIAGA, CHRIS"
2531,ATTO & ASSOCIATES INSURANCE BROKERS INC,"5660, MCADAM ROAD, UNIT A-1, MISSISSAUGA, ONTARIO, CANADA, L4Z 1T2",Corporation,+1(647)223-8325,"MORRIS, PETER ROBERTSON"
3341,AVALOCH INSURANCE SERVICES INC,"156, CENTRE STREET, AURORA, ONTARIO, CANADA, L4G 1K1",Corporation,+1(905)763-8885,"HOLMAN, CHRISTOPHER"
1,AVRO- BURLINGTON,"1047, HAVENDALE BLVD, BURLINGTON, ONTARIO, CANADA,",Wholesaler / MGA,+1(190)546-9241,"DIGBY, MARTIN JOHN"
101,AXION INSURANCE SERVICES INC.,"95, MURAL STREET, SUITE 205, RICHMOND HILL, ONTARIO, CANADA, L4B 3G2",Corporation,+1(905)731-3118,"ISSA, SAMIR STEPHEN"
2617,B.H. HELFERTY INSURANCE LTD.,"58, MAIN STREET, P.O. BOX 460, COBDEN, ONTARIO, CANADA, K0J 1K0",Corporation,+1(613)646-2212,"HELFERTY, BONNIE HEATHER"
112,BAIRD MACGREGOR INSURANCE BROKERS LP,"825, QUEEN STREET EAST, TORONTO, ONTARIO, CANADA, M4M 1H8",Partnership,+1(416)778-8000,"COMERFORD, PHILOMENA V."
123,BARBER STEWART McVITTIE & WALLACE INSURANCE BROKERS LTD.,"7270, WOODBINE AVENUE, SUITE #301, MARKHAM, ONTARIO, CANADA, L3R 4B9",Corporation,+1(416)493-0050,"ZWAAL, GERRIT M."
1,BARBER STEWART-KINGSTON,"789, BLACKBURN MEWS, KINGSTON, ONTARIO, CANADA, K7P 2N6",Corporation,+1(416)493-0050,"ZWAAL, GERRIT M."
1,BARDEAU INSURANCE- AJAX,"230, WESTNEY ROAD SOUTH, SUITE 305, AJAX, ONTARIO, CANADA, L1S 7J5",Corporation,905-619-2265,
125,BARDEAU INSURANCE BROKERS LIMITED,"C/O R.J. BROWN INSURANCE BROKER, 88 LANSDOWNE STREET WEST, PETERBOROUGH, ONTARIO",Corporation,+1(705)876-1300,"MCDERMOTT, BRYAN EDWARD"
144,BAYSIDE INSURANCE BROKERS LIMITED,"579, KINGSTON ROAD WEST, AJAX, ONTARIO, CANADA, L1S 6M1",Corporation,+1(905)683-7411,"DAVIDSON, WILLIAM J."
1,BEACH & ASSOC. - LONDON,"6, LONDON STREET, LONDON, ONTARIO, CANADA, C3R 7L9",Corporation,,"BEACH, JONATHAN PAUL"
3136,BEAZLEY CANADA LIMITED,"100 King Street West, Suite 4530, Toronto, Ontario, Canada, M5X 1E1",Wholesaler / MGA,+1(416)777-6228,"BAKER, PHILIP R."
1,BEAZLEY CANADA- MONTREAL,"#310- 1130 SHERBROOKE STREET W., MONTREAL, QUEBEC, CANADA, H3A 2M8",Wholesaler / MGA,514-350-4848,"BAKER, PHILIP R."
3231,BELYER INSURANCE LIMITED,"880, NORTH SERVICE ROAD, SUITE #104, WINDSOR, ONTARIO, CANADA, N8X 3J5",Corporation,+1(800)679-2640,"MEYER, LEENDERT JOHN"
168,"BENSON, KEARLEY & ASSOCIATES INSURANCE BROKERS LTD.","17705, LESLIE ST, STE 101, NEWMARKET, ONTARIO, CANADA, L3Y 3E3",Corporation,+1(905)898-3815,"KEARLEY, STEPHEN WILLIAM"
1,"BENSON,KEARLEY-MISSISSAUGA","6981, MILLCREEK DRIVE, UNIT 17, MISSISSAUGA, ONTARIO, CANADA, L5N 6B8",Corporation,,"KEARLEY, STEPHEN WILLIAM"
180,BERTRAM & BARRY INSURANCE LIMITED,"6, LAKE AVENUE SOUTH, P.O. BOX 66523, STONEY CREEK, ONTARIO, CANADA, L8G 5E5",Corporation,+1(905)662-8645,"BARRY, RONALD JOHN"
3142,BEST BUY INSURANCE BROKERS INC,"#208 - ONE ROSSLAND ROAD WEST, AJAX, ONTARIO, CANADA, L1Z 1Z2",Corporation,+1(905)683-3110,"VAN KEMPEN, GILLIAN"
1,BEST BUY TORONTO,"1765, QUEEN STREET EAST, UNIT 214, TORONTO, ONTARIO, CANADA, M8V 1W1",Corporation,416-259-0252,"VAN KEMPEN, KIP R."
3591,BETHEL INSURANCE BROKERS INC.,"300, ROSSLAND E RD, #406, AJAX, ONTARIO, CANADA, L1Z 0M1",Corporation,+1(905)683-2323,"WEST, PAUL VALENTINE"
1,BETHEL- MISSISSAUGA #1,"1512, PRINCELEA PLACE, MISSISSAUGA, ONTARIO, CANADA, L5M 3N8",Corporation,416-844-9813,"WEST, PAUL VALENTINE"
1,BFL CANADA- CALGARY,"200- , 1167 KENSINGTON CRESCENT NW, CALGARY, ALBERTA, CANADA, T2N 1X7",Corporation,,"LEE, JACK ERNEST"
1,BFL CANADA- NOVA SCOTIA,"7071, BAYERS ROAD, SUITE 320, LOWER SACKVILLE, NOVA SCOTIA, CANADA, B4E 2H2",Corporation,902-864-4982,"LEE, JACK ERNEST"
1,BFL CANADA- OTTAWA,"2685, QUEENSVIEW DRIVE, SUITE #101, OTTAWA, ONTARIO, CANADA, K2B 8K2",Corporation,613-722-7798,"LEE, JACK ERNEST"
1272,BFL CANADA RISK AND INSURANCE INC.,"2001, MCGILL COLLEGE AVENUE, SUITE #2200, MONTREAL, QUEBEC, CANADA, H3A 1G1",Corporation,+1(416)599-5530,"LEE, JACK ERNEST"
1,BIG CREEK INSURANCE- KINGSTON,"807, BLACKBURN MEWS, KINGSTON, ONTARIO, CANADA,",Corporation,613-887-2625,"MCGREGOR, RAY"
1,BILLYARD- DUNDAS,"301 - 55, HEAD ST, DUNDAS, ONTARIO, CANADA, L9H 3H8",Corporation,905-792-3783,
190,BINBROOK INSURANCE BROKERS LIMITED,"2365, HWY # 56, BOX 429, BINBROOK, ONTARIO, CANADA, L0R 1C0",Corporation,+1(905)692-4418,"EYBEL, LENARD KEITH"
192,BINKS INSURANCE BROKERS LIMITED,"881, LADY ELLEN PLACE, SUITE #100, OTTAWA, ONTARIO, CANADA, K1Z 5L3",Corporation,+1(613)226-1350,"BINKS, HARRY STUART"
1,BINKS PERSONAL-QUEENSVIEW DRIV,"1550-200 , CARLING AVENUE, OTTAWA, ONTARIO, CANADA, K1Z 8S8",Corporation,613-226-1350,"HA, JOSEPH"
195,BIRKETT-HASSARD INSURANCE BROKERS LIMITED,"6262, MAIN STREET, P.O. BOX 580, STOUFFVILLE, ONTARIO, CANADA, L4A 7Z7",Corporation,+1(905)640-2000,"MCBETH, MICHELLE S."
3151,"BIS RISK SOLUTIONS, INC.","1336, SANDHILL DRIVE, UNIT 2, ANCASTER, ONTARIO, CANADA, L9G 4V5",Corporation,+1(289)919-1288,"LOGAN, ROBERT B."
1,BIS RISK SOLUTIONS-ANCASTER,"1336, SANDHILL DRIVE, UNIT #2, ANCASTER, ONTARIO, CANADA, L9G 4V5",Corporation,+1(905)642-6477,"LOGAN, ROBERT B."
3691,BMS CANADA RISK SERVICES LTD.,"825, EXHIBITION WAY, OTTAWA, ONTARIO, CANADA, K1S 5J3",Corporation,+1(613)884-1171,"HOWARD, CHELSEA MARIE"
1,BMS CANADA RISK SEVICES-OTTAWA,"825, EXHIBITION WAY, 209, OTTAWA, ONTARIO, CANADA, K1S 5J3",Corporation,+1(185)531-8655,"WINCH, SUSAN E."
175,BMT INSURANCE BROKERS LIMITED,"65, MAPLE STREET SOUTH, TIMMINS, ONTARIO, CANADA, P4N 1Y6",Corporation,+1(705)268-9988,"BERGERON, JOEL GERARD JOSEPH"
1,BRAMPTON,"212-338 , QUEEN STREET EAST, BRAMPTON, ONTARIO, CANADA, L6V 1C4",Corporation,905-450-1200,"AUSTEN, JOHN WYNDHAM"
1,BRIAN MCGOWAN- TORONTO,"#203-211 CONSUMERS ROAD, TORONTO, ONTARIO, CANADA, M2J 4G8",Corporation,416-321-8787,"MCGOWAN, BRIAN GERARD"
3841,BRIDGES INTERNATIONAL INSURANCE SERVICES INC.,"151 BLOOR ST WEST, STE 850, TORONTO, ONTARIO, CANADA, M5S 1S4",Corporation,+1(647)349-7101,"MOROHASHI, TOMIO"
1,BROKER ASSIST- ANTIBES,"91, ANTIBES DRIVE, BRAMPTON, ONTARIO, CANADA, L6X 5J2",Corporation,,"DAVID, DENISE-ANGELA"
2012,BROKERFORCE INSURANCE INC.,"200, CONSUMERS ROAD, SUITE #608, TORONTO, ONTARIO, CANADA, M2J 4R4",Corporation,+1(416)494-2696,"FRASER, JOHN SCOTT"
1,BROKERS TRUST-CONCORD,"434, NORTH RIVERMEDE ROAD, SUITE 3, CONCORD, ONTARIO, CANADA, L4K 3M9",Corporation,905-695-2971,"BERTOLIN, DAVID J."
1,BROKERTEAM INSURANCE- OTTAWA,"100, – 878 BOYD AVE., OTTAWA, ONTARIO, CANADA, K2A 2E3",Corporation,613-667-6082,"LEUNG, ROYLE"
3171,BROKERTEAM INSURANCE SOLUTIONS INC.,"1550, 16TH AVENUE, BUILDING F, UNIT 100, RICHMOND HILL, ONTARIO, CANADA, L4B 3K",Corporation,+1(905)770-8828,"CHAN, WILLIAM SHAU LIM"
3319,BROOKBANKS INSURANCE BROKERS LTD.,"50, WEST WILMOT STREET, UNIT 6, RICHMOND HILL, ONTARIO, CANADA, L4B 1M5",Corporation,905-695-2080,"JAITLEY, RISHI"
1,BROWN & BROWN OAKVILLE,"700, DORVAL DRIVE, #300, OAKVILLE, ONTARIO, CANADA, L6K 3V3",Corporation,,"DA SILVA, LANA SUE"
4010,"BROWN & BROWN PROGRAMS (CA), INC.","700 DORVAL DRIVE, STE 300, OAKVILLE, ONTARIO, CANADA, L6K 3V3",Corporation,+1(289)259-2610,"DA SILVA, LANA SUE"
1,BROWN INS. MOOREFIELD,"34, MCGIVERN STREET , MOOREFIELD, ONTARIO, CANADA, N0G 2K0",Corporation,519-638-3441,"BROWN, JEREMY PAUL THOMAS"
1220,BRYAN LAVIS INSURANCE BROKER LTD.,"14, KING STREET, BOX 763, CLINTON, ONTARIO, CANADA, N0M 1L0",Corporation,+1(519)482-9920,"LAVIS, BRYAN"
1,BRYSON & ASSOCIATES-BROOKLIN,"541, BAYLY E ST, AJAX, ONTARIO, CANADA, L1Z 1W7",Corporation,+1(905)426-8787,"MAKRIS, TRACY-LYNN"
1,BST INS BROKERS LTD.-WHITBY,"519, DUNDAS ST. E., WHITBY, ONTARIO, CANADA, L4B 2J5",Corporation,905-666-5202,"BAXTER, IAN JAMES"
291,BUCKLEY INS. H/B- BANCROFT,"789, CLEAR LAKE RD, R.R. #1, BANCROFT, ONTARIO, CANADA, K0L 1C0",Corporation,,
291,BUCKLEY INS. H/B- BARRIE,"26, BOOTH LANE, BARRIE, ONTARIO, CANADA, L4N 0S4",Corporation,,
291,BUCKLEY INS. H/B- BARRIE 2,"91, COUGHLIN RD, #4, BARRIE, ONTARIO, CANADA, L4N 0L6",Corporation,,
291,BUCKLEY INS. H/B- BARRIE 3,"106, BIRD ST, BARRIE, ONTARIO, CANADA, L4N 0W6",Corporation,,
291,BUCKLEY INS. H/B- BOLTON,"70, RIVERWOOD TERR, BOLTON, ONTARIO, CANADA, L7E 1S4",Corporation,,
